Code armoire	Code Support	Date pose support	Forme support	Nature support	Code foyer	Date Pose Foyer	Marque Luminaire	Libellé Réf Luminaire	Puissance foyer (Watt)	Secteur foyer	Code Lampe	Type Lampe	Référence	Puissance	IRC	Type	Douille	Date pose lampe	Nom Régime	Latitude	Longitude
0002-	43700019	25842	CYLINDRO-CONIQUE	ACIER	4370M098	39343	DECAUX	ABRIS BUS	360	SECTEUR 2	4370M098	ABRIS	BUS						MOBILIER URBAIN EN CONDUITE	45.18548524	5.72310396
0771-	66750050	39266	OCTO-CONIQUE	ACIER THERMOLAQUE	66750050	39266	ECLATEC	ELIPT 45	90	SECTEUR 6	66750050	I.M.	TUBE	0070W	IR75	T30	R7s	39266	NOCTURNE	45.16563652	5.736534855
0771-	66750051	39266	OCTO-CONIQUE	ACIER THERMOLAQUE	66750051	39266	ECLATEC	ELIPT 45	90	SECTEUR 6	66750051	I.M.	TUBE	0070W	IR75	T30	R7s	39266	NOCTURNE	45.16554986	5.736542358
0055-	20770009	39266	CYLINDRO-CONIQUE	ACIER THERMOLAQUE	20770009	39266	ECLATEC	ELIPT 55	175	SECTEUR 6	20770009	SHP	TUBE	0150W	IR25	T22	E40	41320.56807	NOCTURNE	45.16799898	5.726875024
0011-	0435C007		FACADE	POLYESTER	03700001	39266	ECLATEC	ELIPT 55	175	SECTEUR 2	03700001	SHP	TUBE	0150W	IR25	T22	E40	41092.62332	NOCTURNE	45.1890537	5.721186706
0315-	43700018	25842	CYLINDRO-CONIQUE	ACIER	4370M103	41262.70118	DECAUX	ABRIS BUS	360	SECTEUR 2	4370M103	ABRIS	BUS					41262.70118	MOBILIER URBAIN EN CONDUITE	45.1863086	5.725026308
0036-	43700012	25842	CYLINDRO-CONIQUE	ACIER	4370M231	38355	DECAUX	ABRIS BUS	360	SECTEUR 2	4370M231	ABRIS	BUS						MOBILIER URBAIN EN CONDUITE	45.18710135	5.727101328
1147-	01400005	23468	OCTO-CONIQUE	ACIER	0140M017	41121.72499	DECAUX	B.I.V.	150	SECTEUR 2	0140M017	B.I.V.						41121.72499	MOBILIER URBAIN EN CONDUITE	45.18784139	5.726934125
0009-	68500001	37060	CYLINDRO-CONIQUE	ACIER THERMOLAQUE	6850M102	38355	DECAUX	ABRIS BUS	360	SECTEUR 2	6850M102	ABRIS	BUS						MOBILIER URBAIN EN CONDUITE	45.18949276	5.725043835
0009-	68500001	37060	CYLINDRO-CONIQUE	ACIER THERMOLAQUE	6850M057	39449	DECAUX	B.I.V.	150	SECTEUR 2	6850M057	B.I.V.							MOBILIER URBAIN EN CONDUITE	45.1894705	5.725042264
1040-	10100005	28095		ACIER GALVANISE	1010M107	39465	DECAUX	ABRIS BUS	360	SECTEUR 2	1010M107	ABRIS	BUS						MOBILIER URBAIN EN CONDUITE	45.1887527	5.736729974
1502-	01660002	24959		ACIER	0166M110	39044	DECAUX	ABRIS BUS	360	SECTEUR 6	0166M110	ABRIS	BUS						MOBILIER URBAIN EN CONDUITE	45.16403085	5.724080505
1758-	48300018	38852	CYLINDRIQUE	ALU ANODISE	4830M111	39265	DECAUX	ABRIS BUS	360	SECTEUR 2	4830M111	ABRIS	BUS						MOBILIER URBAIN EN CONDUITE	45.1853427	5.73135865
1721-	48530001	28764		ACIER GALVANISE	4853M046	39450	DECAUX	B.I.V.	150	SECTEUR 5	4853M046	B.I.V.							MOBILIER URBAIN EN CONDUITE	45.16888449	5.733072591
0013-	64100013	32029	OCTO-CONIQUE	ACIER GALVANISE	64100013	32029	PHILIPS	ROISSY R12	450	SECTEUR 1	64100013	SHP	TUBE	0400W	IR25	T22	E40	41025.54381	NOCTURNE	45.18916263	5.715541737
0013-	64100014	32029	CYLINDRIQUE	ACIER GALVANISE	64100014	32029	PHILIPS	ROISSY R10	120	SECTEUR 1	64100014	SHP	TUBE	0100W	IR25	T22	E40	41025.54381	NOCTURNE	45.18912963	5.715657998
0013-	64100015	32029	CYLINDRIQUE	ACIER GALVANISE	64100015	32029	PHILIPS	ROISSY R10	120	SECTEUR 1	64100015	SHP	TUBE	0100W	IR25	T22	E40	41025.54381	NOCTURNE	45.18926822	5.715580341
0013-	64100016	32029	OCTO-CONIQUE	ACIER GALVANISE	64100016	32029	PHILIPS	ROISSY R12	450	SECTEUR 1	64100016	SHP	TUBE	0400W	IR25	T22	E40	41025.54381	NOCTURNE	45.18936727	5.715589785
0013-	64100017	32029	CYLINDRIQUE	ACIER GALVANISE	64100017	32029	PHILIPS	ROISSY R10	120	SECTEUR 1	64100017	SHP	TUBE	0100W	IR25	T22	E40	41025.54381	NOCTURNE	45.18947353	5.715580545
