Luminaire - Type,Luminaire - Code luminaire,Luminaire - Hauteur de feu,Luminaire - X,Luminaire - Y,Lampe - IRC,Lampe - Température Couleur,Lampe - Régime,Lampe - Régime (simplifié),Latitude,Longitude
CLASSIQUE,42750026,6.1,913868.1,6455466.74,88,2800,GRE NOCTURNE AVEC REDUCTION VARIATEUR LUBIO (Réduction de 30 % de 23h à 6h),Abaissement en milieu de nuit,45.16531473777015,5.722655516849838
CLASSIQUE,42750027,6.1,913852.88,6455469.27,88,2800,GRE NOCTURNE AVEC REDUCTION VARIATEUR LUBIO (Réduction de 30 % de 23h à 6h),Abaissement en milieu de nuit,45.16534222885117,5.722463021648183
CLASSIQUE,42750028,6.1,913839.22,6455464.21,88,2800,GRE NOCTURNE AVEC REDUCTION VARIATEUR LUBIO (Réduction de 30 % de 23h à 6h),Abaissement en milieu de nuit,45.16530093473603,5.722287040287917
CLASSIQUE,42750029,6.1,913822.92,6455468.46,88,2800,GRE NOCTURNE AVEC REDUCTION VARIATEUR LUBIO (Réduction de 30 % de 23h à 6h),Abaissement en milieu de nuit,45.1653442382421,5.7220815614040434
CLASSIQUE,42800001,12,914053.7,6456587.99,25,2000,GRE NOCTURNE,Fonctionnement standard,45.17534697641257,5.725508926239808
CLASSIQUE,42800002,12,914028.27,6456597.29,25,2000,GRE NOCTURNE,Fonctionnement standard,45.175438566499835,5.725189472678942
CLASSIQUE,42800003,12,913981.69,6456620.71,25,2000,GRE NOCTURNE,Fonctionnement standard,45.175663788620334,5.724607132756956
CLASSIQUE,42800008,8.5,913861.54,6456729.12,25,2000,GRE NOCTURNE,Fonctionnement standard,45.17667665926904,5.723126073171802
CLASSIQUE,42800009,8,913840.11,6456750.39,25,2000,GRE NOCTURNE,Fonctionnement standard,45.176874716455494,5.722862753990248
CLASSIQUE,42800010,8,913820.04,6456772.63,25,2000,GRE NOCTURNE,Fonctionnement standard,45.17708107972015,5.722617162092891
CLASSIQUE,42800011,8,913801.91,6456793.36,25,2000,GRE NOCTURNE,Fonctionnement standard,45.17727325214225,5.722395588706837
